county,county_fips,state,total_population,health_service_area_number,health_service_area,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
"Geneva, Alabama, US",1061,Alabama,,,,11.90%,20.9,140.84,High,2/24/22
"Greene, Alabama, US",1063,Alabama,,,,6.60%,5.6,283.57,Medium,2/24/22
"Hale, Alabama, US",1065,Alabama,,,,6.60%,5.6,409.53,Medium,2/24/22
"Henry, Alabama, US",1067,Alabama,,,,11.90%,20.9,156.93,High,2/24/22
"Houston, Alabama, US",1069,Alabama,,,,11.90%,20.9,128.44,High,2/24/22
"Jackson, Alabama, US",1071,Alabama,,,,13.00%,28.7,172.39,High,2/24/22
"Jefferson, Alabama, US",1073,Alabama,,,,8.50%,23.4,96.88,High,2/24/22
"Lamar, Alabama, US",1075,Alabama,,,,4.30%,7.8,325.97,Medium,2/24/22
"Lauderdale, Alabama, US",1077,Alabama,,,,7.30%,13.8,168.23,Medium,2/24/22
"Lawrence, Alabama, US",1079,Alabama,,,,6.90%,5.9,191.35,Low,2/24/22
"Autauga, Alabama, US",1001,Alabama,,,,8.00%,15.5,152.14,Medium,2/24/22
"Baldwin, Alabama, US",1003,Alabama,,,,8.00%,16.2,99.9,Medium,2/24/22
"Barbour, Alabama, US",1005,Alabama,,,,11.90%,20.9,81.02,High,2/24/22
"Bibb, Alabama, US",1007,Alabama,,,,8.50%,23.4,125.03,High,2/24/22
"Blount, Alabama, US",1009,Alabama,,,,8.50%,23.4,193.68,High,2/24/22
"Bullock, Alabama, US",1011,Alabama,,,,8.00%,15.5,79.2,Medium,2/24/22
"Butler, Alabama, US",1013,Alabama,,,,6.10%,0,113.12,Low,2/24/22
"Calhoun, Alabama, US",1015,Alabama,,,,5.60%,20.8,177.81,High,2/24/22
"Chambers, Alabama, US",1017,Alabama,,,,9.30%,13,99.24,Medium,2/24/22
"Cherokee, Alabama, US",1019,Alabama,,,,12.80%,20.2,148.88,High,2/24/22
"Chilton, Alabama, US",1021,Alabama,,,,8.50%,23.4,272.35,High,2/24/22
"Choctaw, Alabama, US",1023,Alabama,,,,5.70%,18.3,270.08,High,2/24/22
"Clarke, Alabama, US",1025,Alabama,,,,8.00%,16.2,182.03,Medium,2/24/22
"Clay, Alabama, US",1027,Alabama,,,,6.70%,13.5,188.89,Medium,2/24/22
"Cleburne, Alabama, US",1029,Alabama,,,,5.60%,20.8,127.43,High,2/24/22
"Coffee, Alabama, US",1031,Alabama,,,,11.90%,20.9,84.06,High,2/24/22
"Colbert, Alabama, US",1033,Alabama,,,,7.30%,13.8,161.11,Medium,2/24/22
"Conecuh, Alabama, US",1035,Alabama,,,,8.10%,16.6,82.87,Medium,2/24/22
"Coosa, Alabama, US",1037,Alabama,,,,6.70%,13.5,271.97,High,2/24/22
"Covington, Alabama, US",1039,Alabama,,,,8.00%,15.5,99.87,Medium,2/24/22
"Crenshaw, Alabama, US",1041,Alabama,,,,8.00%,15.5,101.66,Medium,2/24/22
"Cullman, Alabama, US",1043,Alabama,,,,8.50%,23.4,173.1,High,2/24/22
"Dale, Alabama, US",1045,Alabama,,,,11.90%,20.9,122.02,High,2/24/22
"Dallas, Alabama, US",1047,Alabama,,,,6.50%,8,115.6,Low,2/24/22
"DeKalb, Alabama, US",1049,Alabama,,,,12.80%,20.2,149.62,High,2/24/22
"Elmore, Alabama, US",1051,Alabama,,,,10.20%,9.2,102.21,Medium,2/24/22
"Escambia, Alabama, US",1053,Alabama,,,,8.10%,16.6,81.89,Medium,2/24/22
"Etowah, Alabama, US",1055,Alabama,,,,12.80%,20.2,123.21,High,2/24/22
"Fayette, Alabama, US",1057,Alabama,,,,4.30%,8.7,779.05,Medium,2/24/22
"Franklin, Alabama, US",1059,Alabama,,,,7.30%,13.8,178.56,Medium,2/24/22
"Lee, Alabama, US",1081,Alabama,,,,10.20%,9.2,73.54,Medium,2/24/22
"Limestone, Alabama, US",1083,Alabama,,,,13.00%,28.7,182.99,High,2/24/22
"Lowndes, Alabama, US",1085,Alabama,,,,8.00%,15.5,61.69,Medium,2/24/22
"Macon, Alabama, US",1087,Alabama,,,,10.20%,9.2,88.55,Medium,2/24/22
"Madison, Alabama, US",1089,Alabama,,,,13.00%,28.7,171.09,High,2/24/22
"Marengo, Alabama, US",1091,Alabama,,,,6.50%,8,683.88,Medium,2/24/22
"Marion, Alabama, US",1093,Alabama,,,,4.30%,8.7,185.13,Low,2/24/22
"Marshall, Alabama, US",1095,Alabama,,,,12.80%,20.2,100.23,High,2/24/22
"Mobile, Alabama, US",1097,Alabama,,,,8.00%,16.2,162.87,Medium,2/24/22
"Monroe, Alabama, US",1099,Alabama,,,,8.00%,16.2,106.11,Medium,2/24/22
"Montgomery, Alabama, US",1101,Alabama,,,,8.00%,15.5,102.88,Medium,2/24/22
"Morgan, Alabama, US",1103,Alabama,,,,6.90%,5.9,198.87,Low,2/24/22
"Perry, Alabama, US",1105,Alabama,,,,6.50%,8,246.55,Medium,2/24/22
"Pickens, Alabama, US",1107,Alabama,,,,6.60%,5.6,396.39,Medium,2/24/22
"Pike, Alabama, US",1109,Alabama,,,,8.00%,15.5,102.68,Medium,2/24/22
"Randolph, Alabama, US",1111,Alabama,,,,9.30%,13,35.21,Medium,2/24/22
"Russell, Alabama, US",1113,Alabama,,,,12.50%,15.8,67.29,Medium,2/24/22
"St. Clair, Alabama, US",1115,Alabama,,,,8.50%,23.4,121.77,High,2/24/22
"Shelby, Alabama, US",1117,Alabama,,,,8.50%,23.4,148.83,High,2/24/22
"Sumter, Alabama, US",1119,Alabama,,,,5.70%,18.3,458.68,High,2/24/22
"Talladega, Alabama, US",1121,Alabama,,,,6.70%,13.5,233.81,High,2/24/22
"Tallapoosa, Alabama, US",1123,Alabama,,,,10.20%,9.2,133.77,Medium,2/24/22
"Tuscaloosa, Alabama, US",1125,Alabama,,,,6.60%,5.6,283.73,Medium,2/24/22
